ref,name,type,category_slugs,primary_pincode,description_en,description_ta,description_hi,address,state,district,pincode,lat,lng,coverage_pincodes,vertical_slug,product_name,specs_json,product_category,milk_type,fat_percent,pack_size,price_display
aavin,Aavin,shop,dairy;shop,641001,"Aavin milk parlours across Coimbatore offering packet cow milk, toned milk and dairy products.","கோயம்புத்தூர் முழுவதும் பாக்கெட் பசும்பால், டோன்ட் பால் மற்றும் பால் பொருட்களை வழங்கும் ஆவின் பால் விற்பனை மையங்கள்.","कोयंबटूर भर में पैकेट गाय का दूध, टोंड दूध और डेयरी उत्पाद देने वाले आविन दूध पार्लर।","Kamarajar Road, Town Hall",,,641001,,,641001,milk,Aavin Green Magic Toned Milk,,milk,toned,3.0,500ml,₹22/500ml
aavin,Aavin,shop,dairy;shop,641001,"Aavin milk parlours across Coimbatore offering packet cow milk, toned milk and dairy products.","கோயம்புத்தூர் முழுவதும் பாக்கெட் பசும்பால், டோன்ட் பால் மற்றும் பால் பொருட்களை வழங்கும் ஆவின் பால் விற்பனை மையங்கள்.","कोयंबटूर भर में पैकेट गाय का दूध, टोंड दूध और डेयरी उत्पाद देने वाले आविन दूध पार्लर।","Sanganoor Road, Ram Nagar",,,641002,,,641002;641001,milk,Aavin Full Cream Milk,,milk,cow,4.0,500ml,₹34/500ml
aavin,Aavin,shop,dairy;shop,641001,"Aavin milk parlours across Coimbatore offering packet cow milk, toned milk and dairy products.","கோயம்புத்தூர் முழுவதும் பாக்கெட் பசும்பால், டோன்ட் பால் மற்றும் பால் பொருட்களை வழங்கும் ஆவின் பால் விற்பனை மையங்கள்.","कोयंबटूर भर में पैकेट गाय का दूध, टोंड दूध और डेयरी उत्पाद देने वाले आविन दूध पार्लर।","Vilankurichi Road, R.S. Puram",,,641004,,,641004;641001,milk,Aavin Standardised Milk,,milk,toned,3.0,1l,₹56/1l
aavin,Aavin,shop,dairy;shop,641001,"Aavin milk parlours across Coimbatore offering packet cow milk, toned milk and dairy products.","கோயம்புத்தூர் முழுவதும் பாக்கெட் பசும்பால், டோன்ட் பால் மற்றும் பால் பொருட்களை வழங்கும் ஆவின் பால் விற்பனை மையங்கள்.","कोयंबटूर भर में पैकेट गाय का दूध, टोंड दूध और डेयरी उत्पाद देने वाले आविन दूध पार्लर।","Race Course Road, Singanallur",,,641005,,,641005;641001,milk,Aavin Cow Ghee,,ghee,,,500ml,₹300/500ml
aavin,Aavin,shop,dairy;shop,641001,"Aavin milk parlours across Coimbatore offering packet cow milk, toned milk and dairy products.","கோயம்புத்தூர் முழுவதும் பாக்கெட் பசும்பால், டோன்ட் பால் மற்றும் பால் பொருட்களை வழங்கும் ஆவின் பால் விற்பனை மையங்கள்.","कोयंबटूर भर में पैकेट गाय का दूध, टोंड दूध और डेयरी उत्पाद देने वाले आविन दूध पार्लर।","Dr Nanjappa Road, Ramanathapuram",,,641006,,,641006;641001,milk,Aavin Fresh Paneer,,paneer,,,,₹95/200g
aavin,Aavin,shop,dairy;shop,641001,"Aavin milk parlours across Coimbatore offering packet cow milk, toned milk and dairy products.","கோயம்புத்தூர் முழுவதும் பாக்கெட் பசும்பால், டோன்ட் பால் மற்றும் பால் பொருட்களை வழங்கும் ஆவின் பால் விற்பனை மையங்கள்.","कोयंबटूर भर में पैकेट गाय का दूध, टोंड दूध और डेयरी उत्पाद देने वाले आविन दूध पार्लर।","Trichy Road, Uppilipalayam",,,641007,,,641007;641001,milk,Aavin Curd,,curd,,,,₹30/500g
aavin,Aavin,shop,dairy;shop,641001,"Aavin milk parlours across Coimbatore offering packet cow milk, toned milk and dairy products.","கோயம்புத்தூர் முழுவதும் பாக்கெட் பசும்பால், டோன்ட் பால் மற்றும் பால் பொருட்களை வழங்கும் ஆவின் பால் விற்பனை மையங்கள்.","कोयंबटूर भर में पैकेट गाय का दूध, टोंड दूध और डेयरी उत्पाद देने वाले आविन दूध पार्लर।","Avinashi Road, Gandhipuram",,,641009,,,641009;641001,milk,Aavin Table Butter,,butter,,,,₹58/100g
aavin,Aavin,shop,dairy;shop,641001,"Aavin milk parlours across Coimbatore offering packet cow milk, toned milk and dairy products.","கோயம்புத்தூர் முழுவதும் பாக்கெட் பசும்பால், டோன்ட் பால் மற்றும் பால் பொருட்களை வழங்கும் ஆவின் பால் விற்பனை மையங்கள்.","कोयंबटूर भर में पैकेट गाय का दूध, टोंड दूध और डेयरी उत्पाद देने वाले आविन दूध पार्लर।","Mettupalayam Road, Ganapathy",,,641011,,,641011;641001,milk,Aavin Khoa,,khoa,,,,₹120/250g
aavin,Aavin,shop,dairy;shop,641001,"Aavin milk parlours across Coimbatore offering packet cow milk, toned milk and dairy products.","கோயம்புத்தூர் முழுவதும் பாக்கெட் பசும்பால், டோன்ட் பால் மற்றும் பால் பொருட்களை வழங்கும் ஆவின் பால் விற்பனை மையங்கள்.","कोयंबटूर भर में पैकेट गाय का दूध, टोंड दूध और डेयरी उत्पाद देने वाले आविन दूध पार्लर।","Sathy Road, Peelamedu",,,641012,,,641012;641001,,,,,,,,
aavin,Aavin,shop,dairy;shop,641001,"Aavin milk parlours across Coimbatore offering packet cow milk, toned milk and dairy products.","கோயம்புத்தூர் முழுவதும் பாக்கெட் பசும்பால், டோன்ட் பால் மற்றும் பால் பொருட்களை வழங்கும் ஆவின் பால் விற்பனை மையங்கள்.","कोयंबटूर भर में पैकेट गाय का दूध, टोंड दूध और डेयरी उत्पाद देने वाले आविन दूध पार्लर।","Cross Cut Road, Ondipudur",,,641015,,,641015,,,,,,,,
aavin,Aavin,shop,dairy;shop,641001,"Aavin milk parlours across Coimbatore offering packet cow milk, toned milk and dairy products.","கோயம்புத்தூர் முழுவதும் பாக்கெட் பசும்பால், டோன்ட் பால் மற்றும் பால் பொருட்களை வழங்கும் ஆவின் பால் விற்பனை மையங்கள்.","कोयंबटूर भर में पैकेट गाय का दूध, टोंड दूध और डेयरी उत्पाद देने वाले आविन दूध पार्लर।","Big Bazaar Street, Rathinapuri",,,641018,,,641018;641001,,,,,,,,
aavin,Aavin,shop,dairy;shop,641001,"Aavin milk parlours across Coimbatore offering packet cow milk, toned milk and dairy products.","கோயம்புத்தூர் முழுவதும் பாக்கெட் பசும்பால், டோன்ட் பால் மற்றும் பால் பொருட்களை வழங்கும் ஆவின் பால் விற்பனை மையங்கள்.","कोयंबटूर भर में पैकेट गाय का दूध, टोंड दूध और डेयरी उत्पाद देने वाले आविन दूध पार्लर।","Sungam Bypass, Kuniyamuthur",,,641021,,,641021;641001,,,,,,,,
arokya,Arokya,shop,dairy;shop,641025,"Arokya packaged milk from Hatsun, available through dairy retail counters across Coimbatore.",கோயம்புத்தூர் முழுவதும் பால் சில்லறை கடைகளில் கிடைக்கும் ஹட்சன் நிறுவனத்தின் அரோக்யா பேக்கெட் பால்.,कोयंबटूर भर में डेयरी रिटेल काउंटरों पर उपलब्ध हैटसन का आरोक्या पैकेज्ड दूध।,"Sathy Road, Ukkadam",,,641025,,,641025;641001,milk,Arokya Full Cream Milk,,milk,cow,4.0,500ml,₹36/500ml
arokya,Arokya,shop,dairy;shop,641025,"Arokya packaged milk from Hatsun, available through dairy retail counters across Coimbatore.",கோயம்புத்தூர் முழுவதும் பால் சில்லறை கடைகளில் கிடைக்கும் ஹட்சன் நிறுவனத்தின் அரோக்யா பேக்கெட் பால்.,कोयंबटूर भर में डेयरी रिटेल काउंटरों पर उपलब्ध हैटसन का आरोक्या पैकेज्ड दूध।,"Cross Cut Road, Podanur",,,641035,,,641035,milk,Arokya Toned Milk,,milk,toned,3.0,500ml,₹30/500ml
arokya,Arokya,shop,dairy;shop,641025,"Arokya packaged milk from Hatsun, available through dairy retail counters across Coimbatore.",கோயம்புத்தூர் முழுவதும் பால் சில்லறை கடைகளில் கிடைக்கும் ஹட்சன் நிறுவனத்தின் அரோக்யா பேக்கெட் பால்.,कोयंबटूर भर में डेयरी रिटेल काउंटरों पर उपलब्ध हैटसन का आरोक्या पैकेज्ड दूध।,"Big Bazaar Street, Kavundampalayam",,,641037,,,641037;641001,milk,Arokya Standardised Milk,,milk,toned,3.0,1l,₹60/1l
arokya,Arokya,shop,dairy;shop,641025,"Arokya packaged milk from Hatsun, available through dairy retail counters across Coimbatore.",கோயம்புத்தூர் முழுவதும் பால் சில்லறை கடைகளில் கிடைக்கும் ஹட்சன் நிறுவனத்தின் அரோக்யா பேக்கெட் பால்.,कोयंबटूर भर में डेयरी रिटेल काउंटरों पर उपलब्ध हैटसन का आरोक्या पैकेज्ड दूध।,"Sungam Bypass, Thudiyalur",,,641041,,,641041,milk,Arokya Spiced Buttermilk,,buttermilk,,,,₹15/200ml
arokya,Arokya,shop,dairy;shop,641025,"Arokya packaged milk from Hatsun, available through dairy retail counters across Coimbatore.",கோயம்புத்தூர் முழுவதும் பால் சில்லறை கடைகளில் கிடைக்கும் ஹட்சன் நிறுவனத்தின் அரோக்யா பேக்கெட் பால்.,कोयंबटूर भर में डेयरी रिटेल काउंटरों पर उपलब्ध हैटसन का आरोक्या पैकेज्ड दूध।,"Pollachi Main Road, Vadavalli",,,641045,,,641045,,,,,,,,
arokya,Arokya,shop,dairy;shop,641025,"Arokya packaged milk from Hatsun, available through dairy retail counters across Coimbatore.",கோயம்புத்தூர் முழுவதும் பால் சில்லறை கடைகளில் கிடைக்கும் ஹட்சன் நிறுவனத்தின் அரோக்யா பேக்கெட் பால்.,कोयंबटूर भर में डेयरी रिटेल काउंटरों पर उपलब्ध हैटसन का आरोक्या पैकेज्ड दूध।,"Thadagam Road, Maruthamalai",,,641046,,,641046,,,,,,,,
arokya,Arokya,shop,dairy;shop,641025,"Arokya packaged milk from Hatsun, available through dairy retail counters across Coimbatore.",கோயம்புத்தூர் முழுவதும் பால் சில்லறை கடைகளில் கிடைக்கும் ஹட்சன் நிறுவனத்தின் அரோக்யா பேக்கெட் பால்.,कोयंबटूर भर में डेयरी रिटेल काउंटरों पर उपलब्ध हैटसन का आरोक्या पैकेज्ड दूध।,"Marudhamalai Road, Saravanampatti",,,641048,,,641048,,,,,,,,
arokya,Arokya,shop,dairy;shop,641025,"Arokya packaged milk from Hatsun, available through dairy retail counters across Coimbatore.",கோயம்புத்தூர் முழுவதும் பால் சில்லறை கடைகளில் கிடைக்கும் ஹட்சன் நிறுவனத்தின் அரோக்யா பேக்கெட் பால்.,कोयंबटूर भर में डेयरी रिटेल काउंटरों पर उपलब्ध हैटसन का आरोक्या पैकेज्ड दूध।,"Bharathiar Road, Nava India",,,641062,,,641062;641001,,,,,,,,
sakthi,Sakthi Dairy,shop,dairy;shop,641103,Sakthi Dairy packaged milk and dairy products sold through retail counters in the Coimbatore region.,கோயம்புத்தூர் பகுதியில் சில்லறை கடைகள் வழியாக விற்கப்படும் சக்தி டெய்ரி பேக்கெட் பால் மற்றும் பால் பொருட்கள்.,कोयंबटूर क्षेत्र में रिटेल काउंटरों के ज़रिए बिकने वाला शक्ति डेयरी का पैकेज्ड दूध और डेयरी उत्पाद।,"Thadagam Road, Perur",,,641103,,,641103,milk,Sakthi Standardised Milk,,milk,toned,3.0,500ml,₹31/500ml
sakthi,Sakthi Dairy,shop,dairy;shop,641103,Sakthi Dairy packaged milk and dairy products sold through retail counters in the Coimbatore region.,கோயம்புத்தூர் பகுதியில் சில்லறை கடைகள் வழியாக விற்கப்படும் சக்தி டெய்ரி பேக்கெட் பால் மற்றும் பால் பொருட்கள்.,कोयंबटूर क्षेत्र में रिटेल काउंटरों के ज़रिए बिकने वाला शक्ति डेयरी का पैकेज्ड दूध और डेयरी उत्पाद।,"Marudhamalai Road, Vellakinar",,,641107,,,641107,milk,Sakthi Full Cream Milk,,milk,cow,4.0,500ml,₹35/500ml
sakthi,Sakthi Dairy,shop,dairy;shop,641103,Sakthi Dairy packaged milk and dairy products sold through retail counters in the Coimbatore region.,கோயம்புத்தூர் பகுதியில் சில்லறை கடைகள் வழியாக விற்கப்படும் சக்தி டெய்ரி பேக்கெட் பால் மற்றும் பால் பொருட்கள்.,कोयंबटूर क्षेत्र में रिटेल काउंटरों के ज़रिए बिकने वाला शक्ति डेयरी का पैकेज्ड दूध और डेयरी उत्पाद।,"Bharathiar Road, Thondamuthur",,,641114,,,641114,milk,Sakthi Toned Milk,,milk,toned,3.0,1l,₹58/1l
sakthi,Sakthi Dairy,shop,dairy;shop,641103,Sakthi Dairy packaged milk and dairy products sold through retail counters in the Coimbatore region.,கோயம்புத்தூர் பகுதியில் சில்லறை கடைகள் வழியாக விற்கப்படும் சக்தி டெய்ரி பேக்கெட் பால் மற்றும் பால் பொருட்கள்.,कोयंबटूर क्षेत्र में रिटेल काउंटरों के ज़रिए बिकने वाला शक्ति डेयरी का पैकेज्ड दूध और डेयरी उत्पाद।,"Perur Main Road, Kinathukadavu",,,641202,,,641202,milk,Sakthi Fresh Cream,,cream,,,250ml,₹85/250ml
sakthi,Sakthi Dairy,shop,dairy;shop,641103,Sakthi Dairy packaged milk and dairy products sold through retail counters in the Coimbatore region.,கோயம்புத்தூர் பகுதியில் சில்லறை கடைகள் வழியாக விற்கப்படும் சக்தி டெய்ரி பேக்கெட் பால் மற்றும் பால் பொருட்கள்.,कोयंबटूर क्षेत्र में रिटेल काउंटरों के ज़रिए बिकने वाला शक्ति डेयरी का पैकेज्ड दूध और डेयरी उत्पाद।,"Kamarajar Road, Mettupalayam",,,641301,,,641301,,,,,,,,
amul,Amul,shop,dairy;shop,641402,Amul milk and dairy products distributed through retail outlets across Coimbatore.,கோயம்புத்தூர் முழுவதும் சில்லறை கடைகள் வழியாக விநியோகிக்கப்படும் அமுல் பால் மற்றும் பால் பொருட்கள்.,कोयंबटूर भर में रिटेल आउटलेट के ज़रिए वितरित अमूल दूध और डेयरी उत्पाद।,"Kamarajar Road, Sulur",,,641402,,,641402,milk,Amul Gold Full Cream Milk,,milk,cow,4.0,500ml,₹36/500ml
